# Tins.txt
#
# batch -- basically the day of the analysis
# tin -- a unique number for each tin
# tx -- treatment -- 24h: dried 24 h @60C, 1h: dried 1 h @ 60C
# fresh.wt -- weight (mg) of tin before being dried
# dried.wt -- weight (mg) of tin after drying period
# wt.loss -- total weight (mg) loss after drying
#
batch	tin	tx	fresh.wt	driet.wt	wt.loss	
1	1	24h	1.1290	1.1286	0.0004
1	2	24h	1.1344	1.1337	0.0007
1	3	24h	1.1329	1.1322	0.0007
1	4	24h	1.1268	1.1260	0.0008
1	5	24h	1.1400	1.1392	0.0008
1	6	24h	1.1318	1.1309	0.0009
1	7	24h	1.1230	1.1221	0.0009
1	8	24h	1.1268	1.1260	0.0008
1	9	24h	1.1359	1.1351	0.0008
1	10	24h	1.1318	1.1309	0.0009
2	11	24h	1.1375	1.1373	0.0002
2	12	24h	1.1280	1.1274	0.0006
2	13	24h	1.1378	1.1373	0.0005
2	14	24h	1.1304	1.1301	0.0003
2	15	24h	1.1353	1.1350	0.0003
2	16	24h	1.1317	1.1312	0.0005
2	17	24h	1.1287	1.1283	0.0004
2	18	24h	1.1290	1.1283	0.0007
2	19	24h	1.1347	1.1338	0.0009
2	20	24h	1.1383	1.1379	0.0004
3	21	1h	1.1282	1.1280	0.0002
3	22	1h	1.1402	1.1402	0.0000
3	23	1h	1.1363	1.1361	0.0002
3	24	1h	1.1329	1.1326	0.0003
3	25	1h	1.1416	1.1413	0.0003
3	26	1h	1.1327	1.1326	0.0001
3	27	1h	1.1417	1.1416	0.0001
3	28	1h	1.1350	1.1348	0.0002
3	29	1h	1.1377	1.1375	0.0002
3	30	1h	1.1289	1.1289	0.0000
