# Mysis3.txt (original was Mysis3.xls)
#
# This is the same as Kate's Mysis2.txt except that I ...
#   changed the 'diff' varible to 'wt',
#   made longer category names for the two factor variables,
#   put 'NA' in place of the incorrect '0's, and
#   changed the scientific notation for the measurements that were listed as '-1E04'.
#
ID	stage	tx	len	wt
1	Fem	Fr	14.2	0.0035
2	Fem	Fr	16.1	0.0083
3	Fem	Fr	13.6	0.0037
4	Male	Fr	13.1	0.0036
5	Male	Fr	13.2	0.0025
6	Fem	Fr	17.0	0.0082
7	Grav	Fr	15.1	0.0125
8	Fem	Pr	13.3	0.0063
9	Fem	Fr	17.1	0.0098
10	Grav	Fr	15.3	0.0074
11	Grav	Fr	13.7	0.0035
12	Male	Pr	13.8	0.0069
13	Fem	Pr	13.7	0.0079
14	Fem	Fr	13.6	NA
15	Male	Pr	12.9	NA
16	Male	Fr	14.5	0.0049
17	Fem	Fr	12.8	0.0043
18	Fem	Fr	14.5	0.0059
19	Fem	Fr	9.6	-0.0008
20	Fem	Fr	9.1	0.0010
21	Juv	Fr	6.8	0.0000
22	Juv	Fr	6.6	-0.0003
23	Juv	Fr	7.2	0.0002
24	Juv	Fr	6.0	-0.0001
25	Juv	Pr	6.3	-0.0001
26	Juv	Fr	5.1	-0.0002
27	Juv	Pr	5.6	0.0006
28	Juv	Pr	6.5	0.0007
29	Juv	Pr	7.4	0.0004
30	Juv	Fr	6.1	0.0004
31	Juv	Fr	6.8	-0.0001
32	Juv	Fr	6.5	0.0002
33	Juv	Pr	5.7	0.0003
34	Juv	Pr	7.1	0.0009
35	Juv	Fr	6.3	-0.0002
36	Juv	Fr	6.2	-0.0004
37	Juv	Pr	5.8	0.0002
38	Juv	Pr	6.8	-0.0001
39	Juv	Fr	8.5	0.0007
40	Juv	Fr	5.0	-0.0002
41	Juv	Fr	6.8	-0.0002
42	Juv	Pr	5.9	-0.0001
43	Fem	Pr	8.2	0.0012
44	Male	Fr	13.4	NA
45	Male	Pr	13.9	0.0074
46	Fem	Fr	14.7	NA
47	Fem	Pr	13.8	0.0075
48	Fem	Fr	14.5	0.0043
49	Fem	Pr	11.6	0.0042
50	Male	Pr	14.6	0.0074
51	Male	Fr	15.7	0.0088
52	Fem	Pr	14.4	0.0088
53	Fem	Pr	14.1	0.0092
54	Fem	Pr	16.5	0.0129
55	Male	Fr	14.3	0.0044
56	Male	Pr	12.8	0.0063
57	Fem	Fr	14.7	0.0065
58	Fem	Fr	14.0	0.0041
59	Male	Fr	12.2	0.0027
60	Male	Pr	13.3	0.0083
61	Fem	Fr	15.1	0.0065
62	Juv	Pr	7.9	0.0000
63	Juv	Pr	7.5	0.0007
64	Juv	Fr	7.7	0.0007
65	Juv	Pr	6.0	0.0007
66	Juv	Fr	5.8	0.0003
67	Juv	Fr	7.5	0.0007
68	Juv	Pr	7.2	0.0007
69	Juv	Pr	7.4	0.0008
70	Juv	Pr	6.0	0.0004
71	Juv	Fr	8.6	0.0008
72	Juv	Fr	7.6	0.0006
73	Juv	Fr	5.6	0.0000
74	Juv	Pr	7.2	0.0008
75	Juv	Pr	5.3	0.0002
76	Juv	Pr	6.1	0.0001
77	Juv	Pr	8.2	0.0018
78	Juv	Fr	6.7	0.0007
79	Juv	Fr	7.1	0.0004
80	Juv	Fr	5.9	-0.0003
81	Juv	Fr	6.7	0.0000
82	Juv	Fr	5.9	0.0004
83	Juv	Pr	6.7	0.0007
84	Juv	Pr	8.4	0.0014
85	Male	Fr	15.4	0.0050
86	Juv	Pr	6.3	0.0006
87	Juv	Fr	7.1	0.0002
88	Juv	Fr	8.5	0.0009
89	Juv	Pr	8.6	0.0016
90	Juv	Pr	8.3	0.0013
91	Juv	Fr	4.7	0.0001
91	Juv	Fr	3.7	0.0001
91	Juv	Fr	4.2	0.0001
92	Juv	Pr	4.5	0.0002
92	Juv	Pr	4.3	0.0002
92	Juv	Pr	3.3	0.0002
93	Fem	Pr	13.9	0.0088
94	Male	Fr	14.0	0.0068
95	Male	Fr	14.7	0.0058
96	Male	Fr	14.2	0.0044
97	Fem	Fr	15.7	0.0080
98	Fem	Pr	14.4	0.0102
99	Male	Fr	14.5	0.0074
100	Male	Pr	13.2	0.0072
101	Fem	Pr	12.6	0.0056
102	Male	Pr	14.3	0.0078
103	Fem	Pr	14.8	0.0097
104	Fem	Pr	12.2	NA
105	Male	Fr	15.8	0.0095
106	Fem	Fr	12.8	0.0043
107	Fem	Pr	14.5	0.0079
108	Fem	Fr	14.6	0.0080
109	Fem	Fr	15.2	0.0049
110	Fem	Fr	13.8	0.0045
111	Fem	Pr	14.4	0.0078
112	Male	Pr	14.0	0.0082
113	Fem	Fr	15.3	0.0049
114	Fem	Pr	14.0	NA
115	Male	Pr	14.1	0.0096
116	Male	Fr	13.6	0.0037
117	Male	Pr	14.6	0.0096
118	Male	Pr	14.1	0.0073
119	Male	Fr	12.3	0.0021
120	Male	Fr	14.0	0.0040
121	Fem	Pr	10.2	0.0024
122	Juv	Fr	4.8	0.0001
122	Juv	Fr	4.8	0.0001
122	Juv	Fr	4.9	0.0001
123	Fem	Fr	14.6	0.0059
124	Male	Pr	13.0	0.0072
125	Fem	Pr	14.5	0.0101
126	Male	Pr	13.9	0.0090
127	Fem	Pr	16.7	0.0135
128	Grav	Pr	14.0	0.0090
129	Male	Pr	14.3	0.0099
130	Male	Pr	13.0	0.0079
131	Fem	Fr	15.1	0.0061
132	Fem	Fr	15.1	0.0067
134	Fem	Pr	15.7	0.0122
135	Fem	Pr	17.6	NA
136	Fem	Fr	14.4	0.0069
137	Grav	Fr	17.9	0.0108
138	Fem	Pr	14.3	0.0097
139	Grav	Pr	14.9	0.0096
140	Male	Fr	13.9	0.0064
141	Grav	Fr	15.1	0.0065
142	Grav	Pr	14.8	0.0117
143	Male	Fr	12.5	0.0024
144	Male	Fr	14.8	0.0053
145	Male	Fr	14.4	0.0074
146	Male	Pr	14.9	0.0098
147	Fem	Pr	14.5	0.0113
148	Fem	Pr	16.2	0.0126
149	Fem	Fr	14.8	0.0044
150	Fem	Fr	13.7	0.0048
151	Fem	Fr	16.2	0.0064
152	Male	Pr	13.3	0.0076
153	Male	Pr	14.6	0.0105
154	Fem	Fr	14.4	0.0047
155	Grav	Pr	15.1	0.0099
156	Grav	Fr	13.5	0.0050
157	Fem	Pr	14.5	0.0094
158	Fem	Pr	14.0	0.0090
159	Male	Fr	8.1	0.0007
160	Grav	Fr	16.8	0.0117
161	Male	Fr	14.6	0.0064
162	Male	Pr	12.4	0.0058
163	Male	Fr	13.1	0.0032
164	Male	Fr	8.6	0.0010
165	Fem	Fr	14.5	0.0071
166	Male	Fr	14.9	0.0054
167	Fem	Pr	14.3	0.0097
168	Fem	Pr	15.7	0.0109
169	Fem	Fr	15.2	0.0058
170	Male	Pr	14.7	0.0086
171	Male	Pr	14.1	0.0086
172	Grav	Fr	12.9	0.0055
173	Male	Pr	14.6	0.0107
174	Fem	Fr	14.0	0.0042
175	Fem	Pr	14.2	0.0083
176	Fem	Pr	14.3	0.0069
177	Grav	Fr	14.3	0.0076
178	Male	Pr	14.3	0.0085
179	Grav	Pr	13.9	0.0086
180	Male	Fr	14.3	0.0050
181	Fem	Pr	12.7	0.0061
182	Fem	Fr	9.3	0.0017
183	Male	Fr	13.2	0.0041
184	Fem	Fr	16.6	0.0080
185	Grav	Pr	15.3	0.0089
186	Grav	Fr	14.4	0.0075
187	Grav	Fr	14.8	0.0049
188	Grav	Pr	14.7	0.0083
189	Fem	Pr	13.4	0.0073
190	Fem	Fr	8.6	0.0010
191	Juv	Fr	5.5	0.0001
191	Juv	Fr	3.7	0.0001
191	Juv	Fr	4.0	0.0001
192	Male	Fr	15.2	0.0083
193	Male	Fr	14.5	0.0048
194	Grav	Pr	15.0	0.0100
195	Male	Fr	14.2	0.0055
196	Male	Fr	14.9	0.0074
197	Grav	Fr	14.6	0.0050
198	Fem	Pr	12.0	0.0053
199	Male	Pr	14.3	0.0098
200	Grav	Fr	13.7	0.0063
201	Fem	Pr	11.6	0.0138
202	Fem	Fr	18.3	0.0111
203	Male	Pr	15.1	0.0108
204	Grav	Pr	14.0	0.0093
205	Male	Pr	14.6	0.0088
206	Male	Pr	14.8	0.0101
207	Male	Fr	15.7	0.0050
208	Fem	Pr	16.9	0.0145
209	Fem	Fr	8.9	0.0010
210	Grav	Fr	14.7	0.0078
211	Fem	Pr	18.0	0.0176
212	Fem	Fr	18.1	0.0122
213	Grav	Pr	13.7	0.0075
214	Male	Pr	12.9	0.0063
215	Male	Pr	13.3	0.0074
216	Grav	Fr	14.1	0.0055
217	Fem	Fr	9.1	0.0022
218	Grav	Pr	16.7	0.0141
219	Grav	Pr	16.0	0.0106
220	Grav	Fr	13.8	0.0070
221	Grav	Pr	14.4	0.0094
222	Fem	Fr	16.8	0.0075
223	Grav	Fr	17.5	0.0095
224	Grav	Fr	16.6	0.0089
225	Grav	Fr	16.7	0.0095
226	Male	Fr	12.9	0.0027
227	Grav	Pr	15.2	0.0125
228	Grav	Pr	17.9	0.0158
229	Male	Fr	15.2	NA
230	Male	Fr	13.1	0.0060
231	Male	Pr	13.2	0.0068
232	Male	Pr	12.8	0.0064
233	Male	Fr	12.8	0.0038
234	Fem	Fr	13.4	0.0049
235	Male	Fr	12.7	0.0048
