include,purpose,use.lw,use.l,tech,batch,id,tin.id,photo.id,date,time,station,tx,stage,len.fr.bin,len.fr,len.p2w,len.p2m,raw.wt,c.wt,len,len.bin,notes,
TRUE,LW,TRUE,FALSE,Kate,NA,1,NA,NA,NA,NA,NA,Fresh,Fem,13,14.2,NA,NA,0.00350,0.00396,14.2,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,2,NA,NA,NA,NA,NA,Fresh,Fem,15,16.1,NA,NA,0.00830,0.00876,16.1,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,3,NA,NA,NA,NA,NA,Fresh,Fem,13,13.6,NA,NA,0.00370,0.00417,13.6,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,4,NA,NA,NA,NA,NA,Fresh,Male,13,13.1,NA,NA,0.00360,0.00406,13.1,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,5,NA,NA,NA,NA,NA,Fresh,Male,13,13.2,NA,NA,0.00250,0.00297,13.2,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,6,NA,NA,NA,NA,NA,Fresh,Fem,17,17.0,NA,NA,0.00820,0.00866,17.0,17,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,7,NA,NA,NA,NA,NA,Fresh,Grav,15,15.1,NA,NA,0.01250,0.01297,15.1,15,excluded b/c weighs too much for length,
TRUE,LW,TRUE,FALSE,Kate,NA,8,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,13.3,NA,0.00630,0.00677,13.3,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,9,NA,NA,NA,NA,NA,Fresh,Fem,17,17.1,NA,NA,0.00980,0.01027,17.1,17,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,10,NA,NA,NA,NA,NA,Fresh,Grav,15,15.3,NA,NA,0.00740,0.00787,15.3,15,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,11,NA,NA,NA,NA,NA,Fresh,Grav,13,13.7,NA,NA,0.00350,0.00397,13.7,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,12,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,13.8,NA,0.00690,0.00737,13.8,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,13,NA,NA,NA,NA,NA,8SBF,Fem,NA,NA,13.7,NA,0.00790,0.00837,13.7,13,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,14,NA,NA,NA,NA,NA,Fresh,Fem,13,13.6,NA,NA,NA,NA,13.6,13,weights not recorded for some reason,
FALSE,LW,TRUE,FALSE,Kate,NA,15,NA,NA,NA,NA,NA,8SBF,Male,NA,NA,12.9,NA,NA,NA,12.9,11,weights not recorded for some reason,
TRUE,LW,TRUE,FALSE,Kate,NA,16,NA,NA,NA,NA,NA,Fresh,Male,13,14.5,NA,NA,0.00490,0.00537,14.5,13,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,17,NA,NA,NA,NA,NA,Fresh,Fem,11,12.8,NA,NA,0.00430,0.00476,12.8,11,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,18,NA,NA,NA,NA,NA,Fresh,Fem,13,14.5,NA,NA,0.00590,0.00637,14.5,13,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,19,NA,NA,NA,NA,NA,Fresh,Fem,9,9.6,NA,NA,-0.00080,-0.00033,9.6,9,exclude b/c negative weight,
TRUE,LW,TRUE,FALSE,Kate,NA,20,NA,NA,NA,NA,NA,Fresh,Fem,9,9.1,NA,NA,0.00100,0.00146,9.1,9,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,21,NA,NA,NA,NA,NA,Fresh,Juv,5,6.8,NA,NA,0.00000,0.00047,6.8,5,NA,
FALSE,LW,TRUE,FALSE,Kate,NA,22,NA,NA,NA,NA,NA,Fresh,Juv,5,6.6,NA,NA,-0.00030,0.00017,6.6,5,excluded b/c weighs too little for length,
TRUE,LW,TRUE,FALSE,Kate,NA,23,NA,NA,NA,NA,NA,Fresh,Juv,7,7.2,NA,NA,0.00020,0.00066,7.2,7,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,24,NA,NA,NA,NA,NA,Fresh,Juv,5,6.0,NA,NA,-0.00010,0.00037,6.0,5,NA,
TRUE,LW,TRUE,FALSE,Kate,NA,25,NA,NA,NA,NA,NA,8SBF,Juv,NA,NA,6.3,NA,-0.00010,0.00037,6.3,5,NA,
