ID	stage	tx	len	diff
1	F	F	14.2	0.0035
2	F	F	16.1	0.0083
3	F	F	13.6	0.0037
4	M	F	13.1	0.0036
5	M	F	13.2	0.0025
6	F	F	17.0	0.0082
7	G	F	15.1	0.0125
8	F	P	13.3	0.0063
9	F	F	17.1	0.0098
10	G	F	15.3	0.0074
11	G	F	13.7	0.0035
12	M	P	13.8	0.0069
13	F	P	13.7	0.0079
14	F	F	13.6	0
15	M	P	12.9	0
16	M	F	14.5	0.0049
17	F	F	12.8	0.0043
18	F	F	14.5	0.0059
19	F	F	9.6	-0.0008
20	F	F	9.1	0.001
21	J	F	6.8	0
22	J	F	6.6	-0.0003
23	J	F	7.2	0.0002
24	J	F	6.0	-1E-04
25	J	P	6.3	-1E-04
26	J	F	5.1	-0.0002
27	J	P	5.6	0.0006
28	J	P	6.5	0.0007
29	J	P	7.4	0.0004
30	J	F	6.1	0.0004
31	J	F	6.8	-1E-04
32	J	F	6.5	0.0002
33	J	P	5.7	0.0003
34	J	P	7.1	0.0009
35	J	F	6.3	-0.0002
36	J	F	6.2	-0.0004
37	J	P	5.8	0.0002
38	J	P	6.8	1E-04
39	J	F	8.5	0.0007
40	J	F	5.0	-0.0002
41	J	F	6.8	-0.0002
42	J	P	5.9	-1E-04
43	F	P	8.2	0.0012
44	M	F	13.4	0
45	M	P	13.9	0.0074
46	F	F	14.7	0
47	F	P	13.8	0.0075
48	F	F	14.5	0.0043
49	F	P	11.6	0.0042
50	M	P	14.6	0.0074
51	M	F	15.7	0.0088
52	F	P	14.4	0.0088
53	F	P	14.1	0.0092
54	F	P	16.5	0.0129
55	M	F	14.3	0.0044
56	M	P	12.8	0.0063
57	F	F	14.7	0.0065
58	F	F	14.0	0.0041
59	M	F	12.2	0.0027
60	M	P	13.3	0.0083
61	F	F	15.1	0.0065
62	J	P	7.9	0
63	J	P	7.5	0.0007
64	J	F	7.7	0.0007
65	J	P	6.0	0.0007
66	J	F	5.8	0.0003
67	J	F	7.5	0.0007
68	J	P	7.2	0.0007
69	J	P	7.4	0.0008
70	J	P	6.0	0.0004
71	J	F	8.6	0.0008
72	J	F	7.6	0.0006
73	J	F	5.6	0
74	J	P	7.2	0.0008
75	J	P	5.3	0.0002
76	J	P	6.1	1E-04
77	J	P	8.2	0.0018
78	J	F	6.7	0.0007
79	J	F	7.1	0.0004
80	J	F	5.9	-0.0003
81	J	F	6.7	0
82	J	F	5.9	0.0004
83	J	P	6.7	0.0007
84	J	P	8.4	0.0014
85	M	F	15.4	0.005
86	J	P	6.3	0.0006
87	J	F	7.1	0.0002
88	J	F	8.5	0.0009
89	J	P	8.6	0.0016
90	J	P	8.3	0.0013
91	J	F	4.7	0.0001
91	J	F	3.7	0.0001
91	J	F	4.2	0.0001
92	J	P	4.5	0.00017
92	J	P	4.3	0.00017
92	J	P	3.3	0.00017
93	F	P	13.9	0.0088
94	M	F	14.0	0.0068
95	M	F	14.7	0.0058
96	M	F	14.2	0.0044
97	F	F	15.7	0.008
98	F	P	14.4	0.0102
99	M	F	14.5	0.0074
100	M	P	13.2	0.0072
101	F	P	12.6	0.0056
102	M	P	14.3	0.0078
103	F	P	14.8	0.0097
104	F	P	12.2	0
105	M	F	15.8	0.0095
106	F	F	12.8	0.0043
107	F	P	14.5	0.0079
108	F	F	14.6	0.008
109	F	F	15.2	0.0049
110	F	F	13.8	0.0045
111	F	P	14.4	0.0078
112	M	P	14.0	0.0082
113	F	F	15.3	0.0049
114	F	P	14.0	0
115	M	P	14.1	0.0096
116	M	F	13.6	0.0037
117	M	P	14.6	0.0096
118	M	P	14.1	0.0073
119	M	F	12.3	0.0021
120	M	F	14.0	0.004
121	F	P	10.2	0.0024
122	J	F	4.8	0.00007
122	J	F	4.8	0.00007
122	J	F	4.9	0.00007
123	F	F	14.6	0.0059
124	M	P	13.0	0.0072
125	F	P	14.5	0.0101
126	M	P	13.9	0.009
127	F	P	16.7	0.0135
128	G	P	14.0	0.009
129	M	P	14.3	0.0099
130	M	P	13.0	0.0079
131	F	F	15.1	0.0061
132	F	F	15.1	0.0067
134	F	P	15.7	0.0122
135	F	P	17.6	0
136	F	F	14.4	0.0069
137	G	F	17.9	0.0108
138	F	P	14.3	0.0097
139	G	P	14.9	0.0096
140	M	F	13.9	0.0064
141	G	F	15.1	0.0065
142	G	P	14.8	0.0117
143	M	F	12.5	0.0024
144	M	F	14.8	0.0053
145	M	F	14.4	0.0074
146	M	P	14.9	0.0098
147	F	P	14.5	0.0113
148	F	P	16.2	0.0126
149	F	F	14.8	0.0044
150	F	F	13.7	0.0048
151	F	F	16.2	0.0064
152	M	P	13.3	0.0076
153	M	P	14.6	0.0105
154	F	F	14.4	0.0047
155	G	P	15.1	0.0099
156	G	F	13.5	0.005
157	F	P	14.5	0.0094
158	F	P	14.0	0.009
159	M	F	8.1	0.0007
160	G	F	16.8	0.0117
161	M	F	14.6	0.0064
162	M	P	12.4	0.0058
163	M	F	13.1	0.0032
164	M	F	8.6	0.001
165	F	F	14.5	0.0071
166	M	F	14.9	0.0054
167	F	P	14.3	0.0097
168	F	P	15.7	0.0109
169	F	F	15.2	0.0058
170	M	P	14.7	0.0086
171	M	P	14.1	0.0086
172	G	F	12.9	0.0055
173	M	P	14.6	0.0107
174	F	F	14.0	0.0042
175	F	P	14.2	0.0083
176	F	P	14.3	0.0069
177	G	F	14.3	0.0076
178	M	P	14.3	0.0085
179	G	P	13.9	0.0086
180	M	F	14.3	0.005
181	F	P	12.7	0.0061
182	F	F	9.3	0.0017
183	M	F	13.2	0.0041
184	F	F	16.6	0.008
185	G	P	15.3	0.0089
186	G	F	14.4	0.0075
