id	stage	len.fr	len.p2w	len.p2m
3	Fem	11	10.7	10.6
6	Fem	12.4	11.8	11.8
9	Fem	10.9	9.9	9.9
11	Fem	16.5	15	15
21	Male	13.9	13	13
27	Fem	11.7	10.6	10.6
31	Male	14.2	12.1	12.1
33	Fem	12.2	11.6	11.6
34	Fem	10	9.7	9.7
37	Male	11.4	11.3	11.3
40	Fem	13	12.6	12.6
41	Fem	12.7	12.2	12.2
46	Fem	11.8	11	11
48	Male	12.2	11.2	11.2
52	Juv	4	3.6	3.6
56	Juv	4.2	4.1	4.1
58	Juv	4.1	3.7	3.7
61	Juv	4.7	3.3	3.4
67	Juv	5.5	5.2	5.2
68	Juv	4.2	3.9	3.9
71	Fem	10.9	10.5	10.5
75	Juv	4.3	2.8	2.9
78	Juv	3.6	3.2	3.2
81	Juv	5.2	4.4	4.4
83	Juv	3.4	3.2	3.2
86	Fem	17	15.8	15.7
89	Fem	15.1	14.6	14.7
92	Male	11.3	10.5	10.5
94	Male	11.5	10.7	10.7
97	Male	11.5	10.9	10.9
98	Male	10.8	10.6	10.6
99	Male	11.5	10.3	10.4
101	Juv	4.8	4.7	4.7
103	Fem	14.3	12.5	12.5
104	Fem	11.4	9.9	9.9
108	Fem	12.4	10.4	10.4
110	Fem	14.9	14.6	14.5
117	Fem	14.9	14.4	14.4
131	Fem	10.2	9.6	9.5
134	Juv	6	5	5
141	Fem	17.7	17.6	17.6
142	Fem	16.3	15.7	15.8
143	Fem	17.8	16.6	16.6
145	Fem	14.6	13.2	13.2
150	Fem	16.2	16.7	16.7
152	Fem	14.4	13.6	13.5
153	Fem	17.1	16	15.9
154	Fem	18.1	17.2	17.2
155	Male	11.1	10.2	10.2
156	Male	11.2	10.4	10.4
158	Fem	9.8	9.5	9.5
160	Male	13.3	12	12.1
