id	stage	tx	len.fr	len.pr
3	Fem	2W	11	10.7
6	Fem	2W	12.4	11.8
9	Fem	2W	10.9	9.9
11	Fem	2W	16.5	15
21	Male	2W	13.9	13
27	Fem	2W	11.7	10.6
31	Male	2W	14.2	12.1
33	Fem	2W	12.2	11.6
34	Fem	2W	10	9.7
37	Male	2W	11.4	11.3
40	Fem	2W	13	12.6
41	Fem	2W	12.7	12.2
46	Fem	2W	11.8	11
48	Male	2W	12.2	11.2
52	Juv	2W	4	3.6
56	Juv	2W	4.2	4.1
58	Juv	2W	4.1	3.7
61	Juv	2W	4.7	3.3
67	Juv	2W	5.5	5.2
68	Juv	2W	4.2	3.9
71	Fem	2W	10.9	10.5
75	Juv	2W	4.3	2.8
78	Juv	2W	3.6	3.2
81	Juv	2W	5.2	4.4
83	Juv	2W	3.4	3.2
86	Fem	2W	17	15.8
89	Fem	2W	15.1	14.6
92	Male	2W	11.3	10.5
94	Male	2W	11.5	10.7
97	Male	2W	11.5	10.9
98	Male	2W	10.8	10.6
99	Male	2W	11.5	10.3
101	Juv	2W	4.8	4.7
103	Fem	2W	14.3	12.5
104	Fem	2W	11.4	9.9
108	Fem	2W	12.4	10.4
110	Fem	2W	14.9	14.6
117	Fem	2W	14.9	14.4
131	Fem	2W	10.2	9.6
134	Juv	2W	6	5
141	Fem	2W	17.7	17.6
142	Fem	2W	16.3	15.7
143	Fem	2W	17.8	16.6
145	Fem	2W	14.6	13.2
150	Fem	2W	16.2	16.7
152	Fem	2W	14.4	13.6
153	Fem	2W	17.1	16
154	Fem	2W	18.1	17.2
155	Male	2W	11.1	10.2
156	Male	2W	11.2	10.4
158	Fem	2W	9.8	9.5
160	Male	2W	13.3	12
3	Fem	2M	11	10.6
6	Fem	2M	12.4	11.8
9	Fem	2M	10.9	9.9
11	Fem	2M	16.5	15
21	Male	2M	13.9	13
27	Fem	2M	11.7	10.6
31	Male	2M	14.2	12.1
33	Fem	2M	12.2	11.6
34	Fem	2M	10	9.7
37	Male	2M	11.4	11.3
40	Fem	2M	13	12.6
41	Fem	2M	12.7	12.2
46	Fem	2M	11.8	11
48	Male	2M	12.2	11.2
52	Juv	2M	4	3.6
56	Juv	2M	4.2	4.1
58	Juv	2M	4.1	3.7
61	Juv	2M	4.7	3.4
67	Juv	2M	5.5	5.2
68	Juv	2M	4.2	3.9
71	Fem	2M	10.9	10.5
75	Juv	2M	4.3	2.9
78	Juv	2M	3.6	3.2
81	Juv	2M	5.2	4.4
83	Juv	2M	3.4	3.2
86	Fem	2M	17	15.7
89	Fem	2M	15.1	14.7
92	Male	2M	11.3	10.5
94	Male	2M	11.5	10.7
97	Male	2M	11.5	10.9
98	Male	2M	10.8	10.6
99	Male	2M	11.5	10.4
101	Juv	2M	4.8	4.7
103	Fem	2M	14.3	12.5
104	Fem	2M	11.4	9.9
108	Fem	2M	12.4	10.4
110	Fem	2M	14.9	14.5
117	Fem	2M	14.9	14.4
131	Fem	2M	10.2	9.5
134	Juv	2M	6	5
141	Fem	2M	17.7	17.6
142	Fem	2M	16.3	15.8
143	Fem	2M	17.8	16.6
145	Fem	2M	14.6	13.2
150	Fem	2M	16.2	16.7
152	Fem	2M	14.4	13.5
153	Fem	2M	17.1	15.9
154	Fem	2M	18.1	17.2
155	Male	2M	11.1	10.2
156	Male	2M	11.2	10.4
158	Fem	2M	9.8	9.5
160	Male	2M	13.3	12.1
